opp_id,account_id,close_date,stage,status,product_line,deal_size_eur,competitor,win_loss_reason_code,win_loss_notes
OPP_000001,ACC_IT_0108,2024-02-06,Closed Lost,lost,Middle Office,1310949,,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000002,ACC_NL_0097,2022-06-14,Closed Won,won,AIFM,997624,Competitor C,OTHER,A combination of service quality and responsiveness led to a successful close.
OPP_000003,ACC_FR_0031,2023-01-01,Closed Lost,lost,ESG Reporting,1073061,Competitor B,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000004,ACC_LU_0001,2022-02-16,Closed Lost,lost,Regulatory,1092686,,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000005,ACC_LU_0137,2024-02-16,Closed Lost,lost,Middle Office,551931,Competitor C,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000006,ACC_LU_0049,2026-01-24,Closed Lost,lost,Regulatory,2386582,Competitor A,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000007,ACC_IT_0062,2023-02-27,Prospecting,,ESG Reporting,651093,Competitor A,,
OPP_000008,ACC_IT_0063,2026-02-25,Prospecting,,Middle Office,389791,Competitor B,,
OPP_000009,ACC_LU_0015,2022-10-14,Closed Won,won,AIFM,4171038,Competitor C,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000010,ACC_LU_0148,2025-05-09,Closed Lost,lost,AIFM,487558,Competitor B,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000011,ACC_NL_0134,2023-03-29,Closed Won,won,Fund Admin,857241,Competitor B,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000012,ACC_FR_0110,2025-02-12,Closed Won,won,Regulatory,1023446,Competitor C,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000013,ACC_LU_0107,2024-04-16,Prospecting,,Middle Office,316624,,,
OPP_000014,ACC_IT_0062,2023-04-07,Proposal,,Regulatory,1149582,,,
OPP_000015,ACC_LU_0015,2025-02-25,Closed Won,won,ESG Reporting,2884963,,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000016,ACC_IT_0063,2023-06-07,Proposal,,Regulatory,164652,,,
OPP_000017,ACC_FR_0095,2022-07-09,Closed Won,won,Fund Admin,1708077,Competitor A,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000018,ACC_FR_0019,2023-01-21,Closed Lost,lost,Regulatory,3521527,Competitor B,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000019,ACC_LU_0123,2023-03-04,Closed Lost,lost,Depositary,1437678,Competitor A,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000020,ACC_LU_0055,2023-01-25,Closed Lost,lost,Regulatory,4998074,,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000021,ACC_IT_0063,2025-11-25,Closed Won,won,Middle Office,1376933,Competitor C,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000022,ACC_NL_0073,2024-02-19,Closed Won,won,Depositary,1677027,,COVERAGE,Our broad coverage across the required jurisdictions exceeded all other proposals.
OPP_000023,ACC_LU_0120,2022-07-21,Closed Lost,lost,Depositary,4614487,Competitor C,COMPETITOR_RELATIONSHIP,Incumbent provider retained mandate due to entrenched relationship with CFO.
OPP_000024,ACC_NL_0081,2024-04-27,Prospecting,,AIFM,1124815,Competitor A,,
OPP_000025,ACC_LU_0067,2025-02-07,Closed Lost,lost,Regulatory,655488,Competitor B,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000026,ACC_FR_0051,2023-11-07,Proposal,,ESG Reporting,1258375,,,
OPP_000027,ACC_IT_0141,2025-09-02,Closed Lost,lost,Depositary,1156872,,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000028,ACC_IT_0126,2024-08-01,Proposal,,Depositary,1261695,,,
OPP_000029,ACC_IT_0048,2025-01-15,Closed Lost,lost,ESG Reporting,652206,Competitor A,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000030,ACC_LU_0013,2022-01-14,Closed Won,won,Fund Admin,3682263,Competitor A,ONBOARDING_SPEED,Our rapid onboarding capability was a decisive factor in the client's selection.
OPP_000031,ACC_NL_0056,2024-11-01,Closed Won,won,ESG Reporting,974706,,PRICE,Client confirmed our pricing was competitive and within the approved budget envelope.
OPP_000032,ACC_LU_0125,2022-02-02,Prospecting,,ESG Reporting,2351023,Competitor A,,
OPP_000033,ACC_NL_0136,2026-01-19,Proposal,,Depositary,74856,,,
OPP_000034,ACC_LU_0046,2022-08-08,Closed Lost,lost,AIFM,399404,Competitor C,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
OPP_000035,ACC_IT_0091,2023-07-02,Closed Lost,lost,Depositary,4816840,,PRICE,Client selected a competitor offering a lower fee structure for the same service scope.
OPP_000036,ACC_NL_0145,2023-05-14,Closed Lost,lost,Depositary,1041860,Competitor A,ONBOARDING_SPEED,Competitor promised a faster go-live timeline which was critical for the fund launch.
OPP_000037,ACC_LU_0009,2022-07-11,Closed Won,won,ESG Reporting,740207,Competitor A,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000038,ACC_NL_0044,2022-06-19,Closed Won,won,Regulatory,4029693,Competitor A,COMPETITOR_RELATIONSHIP,Existing long-term relationship with IQ-EQ team outweighed competitor's lower price.
OPP_000039,ACC_NL_0136,2022-03-29,Proposal,,Regulatory,1336953,,,
OPP_000040,ACC_LU_0070,2022-04-06,Closed Lost,lost,ESG Reporting,3035794,Competitor A,COVERAGE,Our current coverage in the required domicile was insufficient for the mandate.
OPP_000041,ACC_LU_0046,2023-10-07,Prospecting,,AIFM,901202,,,
OPP_000042,ACC_FR_0020,2023-09-05,Proposal,,AIFM,871709,,,
OPP_000043,ACC_FR_0139,2023-11-11,Negotiation,,Regulatory,1129777,Competitor A,,
OPP_000044,ACC_NL_0129,2023-12-10,Prospecting,,Middle Office,1544648,Competitor A,,
OPP_000045,ACC_NL_0088,2025-05-24,Closed Lost,lost,Middle Office,4860142,Competitor C,OTHER,Deal stalled due to internal restructuring at the client; no clear next steps.
