conference_id,name,date,location,theme,accounts_present,engagement_score
CONF_LU_2024_01,IQ-EQ Lux Funds Summit 2024,2024-05-20,"Luxembourg City, LU",ESG Integration in Private Equity,ACC_LU_0007;ACC_LU_0123,0.47
CONF_NL_2026_02,Amsterdam Asset Owners Forum 2026,2026-01-07,"Amsterdam, NL",T+1 Settlement Readiness,ACC_FR_0010;ACC_NL_0033;ACC_NL_0050;ACC_LU_0105,0.77
CONF_LU_2026_03,Paris Private Capital Conference 2026,2026-01-28,"Luxembourg City, LU",Private Debt Structures,ACC_LU_0096;ACC_IT_0103,0.32
CONF_LU_2024_04,Milan Alternatives Congress 2024,2024-04-29,"Luxembourg City, LU",AIFMD II Compliance,ACC_FR_0059,0.65
CONF_LU_2026_05,LPEA Annual Congress 2026,2026-01-13,"Luxembourg City, LU",Operational Alpha in Fund Admin,ACC_FR_0002;ACC_LU_0009;ACC_IT_0040;ACC_FR_0052;ACC_FR_0069;ACC_LU_0089;ACC_FR_0122,0.8
CONF_IT_2024_06,ALFI Global Distribution Conference 2024,2024-08-17,"Milan, IT",Digital Transformation in Asset Management,ACC_LU_0039;ACC_LU_0060;ACC_NL_0073;ACC_NL_0111,0.71
CONF_LU_2024_07,Private Equity Netherlands Summit 2024,2024-12-23,"Luxembourg City, LU",Depositary Governance,ACC_FR_0017;ACC_FR_0019;ACC_LU_0036;ACC_IT_0045;ACC_NL_0080;ACC_FR_0110,0.6
CONF_FR_2024_08,Fund Finance Forum Europe 2024,2024-04-20,"Paris, FR",Middle Office Automation,ACC_NL_0027;ACC_NL_0127;ACC_LU_0144,0.97
CONF_FR_2024_09,ESG in Finance Brussels 2024,2024-02-17,"Paris, FR",Regulatory Reporting & SFDR,ACC_LU_0070;ACC_FR_0078,0.57
CONF_FR_2025_10,AIC Annual Conference London 2025,2025-11-06,"Paris, FR",Cross-border Fund Distribution,ACC_IT_0091;ACC_LU_0094;ACC_LU_0137,0.49
CONF_LU_2026_11,Europlace Finance Forum 2026,2026-01-30,"Luxembourg City, LU",ESG Integration in Private Equity,ACC_NL_0016;ACC_NL_0041;ACC_LU_0087;ACC_NL_0088;ACC_IT_0108;ACC_NL_0112,0.68
CONF_IT_2024_12,Funds Europe Awards 2024,2024-10-09,"Milan, IT",T+1 Settlement Readiness,ACC_NL_0038;ACC_FR_0086;ACC_LU_0120,0.51
CONF_FR_2026_13,Private Debt Investor Europe 2026,2026-01-13,"Paris, FR",Private Debt Structures,ACC_NL_0032;ACC_NL_0071;ACC_IT_0128,0.79
CONF_LU_2026_14,Real Assets Europe 2026,2026-01-15,"Luxembourg City, LU",AIFMD II Compliance,ACC_LU_0013;ACC_FR_0124,0.84
CONF_LU_2024_15,Infra Investor Global Summit 2024,2024-02-21,"Luxembourg City, LU",Operational Alpha in Fund Admin,ACC_IT_0004;ACC_FR_0014;ACC_NL_0029;ACC_LU_0067;ACC_IT_0099;ACC_NL_0109,0.57
CONF_IT_2026_16,IQ-EQ NL Roundtable 2026,2026-02-23,"Milan, IT",Digital Transformation in Asset Management,ACC_FR_0104;ACC_NL_0136;ACC_FR_0146,0.56
CONF_FR_2025_17,IQ-EQ FR Client Day 2025,2025-04-18,"Paris, FR",Depositary Governance,ACC_IT_0005;ACC_LU_0024;ACC_FR_0084;ACC_LU_0148,0.77
CONF_LU_2026_18,KPMG Funds Tax Summit LU 2026,2026-02-10,"Luxembourg City, LU",Middle Office Automation,ACC_LU_0011;ACC_LU_0015;ACC_NL_0028;ACC_LU_0072;ACC_NL_0149,0.42
CONF_NL_2024_19,Intertrust PIAO Forum 2024,2024-08-24,"Amsterdam, NL",Regulatory Reporting & SFDR,ACC_LU_0021;ACC_LU_0026;ACC_LU_0090;ACC_NL_0106;ACC_FR_0132,0.57
CONF_NL_2026_20,Caceis Fund Administration Summit 2026,2026-01-21,"Amsterdam, NL",Cross-border Fund Distribution,ACC_FR_0020;ACC_FR_0043;ACC_NL_0044;ACC_FR_0101,0.89
